Radial coordinate (angstrom), Histogram of radial distances (counts), Scaled histogram for 0ps to 1 ps (counts),Radial coordinate (angstrom).1, Histogram of radial distances (counts).1, Scaled histogram for 0.5 ps to 1.5 ps (counts),Radial coordinate (angstrom).2, Histogram of radial distances (counts).2, Scaled histogram for 1 ps to 2 ps (counts),Radial coordinate (angstrom), Histogram of radial distances for (counts), Scaled histogram ours (counts),Radial coordinate (angstrom).1, Histogram of radial distances for (counts).1, Scaled histogram theirs (counts)
1.5261244290860043,0.0,0.0,1.5261244290860043,0.0,0.0,1.5261244290860043,0.0,0.0,1.5261244290860043,0.0,0.0,1.5261244290860043,0.0,0.0
1.5783732872580132,0.0,0.0,1.5783732872580132,0.0,0.0,1.5783732872580132,0.0,0.0,1.5783732872580132,0.0,0.0,1.5783732872580132,0.0,0.0
1.630622145430022,0.0,0.0,1.630622145430022,0.0,0.0,1.630622145430022,0.0,0.0,1.630622145430022,0.0,0.0,1.630622145430022,0.0,0.0
1.682871003602031,0.0,0.0,1.682871003602031,0.0,0.0,1.682871003602031,0.0,0.0,1.682871003602031,0.0,0.0,1.682871003602031,0.0,0.0
1.7351198617740398,0.0,0.0,1.7351198617740398,0.0,0.0,1.7351198617740398,0.0,0.0,1.7351198617740398,0.0,0.0,1.7351198617740398,0.0,0.0
1.7873687199460486,0.0,0.0,1.7873687199460486,0.0,0.0,1.7873687199460486,0.0,0.0,1.7873687199460486,0.0,0.0,1.7873687199460486,0.0,0.0
1.8396175781180573,0.0,0.0,1.8396175781180573,0.0,0.0,1.8396175781180573,0.0,0.0,1.8396175781180573,0.0,0.0,1.8396175781180573,0.0,0.0
1.891866436290066,3.0,0.0191077020109463,1.891866436290066,0.0,0.0,1.891866436290066,0.0,0.0,1.891866436290066,0.0,0.0,1.891866436290066,0.0,0.0
1.944115294462075,7.0,0.0422203817779586,1.944115294462075,0.0,0.0,1.944115294462075,0.0,0.0,1.944115294462075,0.0,0.0,1.944115294462075,0.0,0.0
1.996364152634084,5.0,0.0285995123707821,1.996364152634084,0.0,0.0,1.996364152634084,0.0,0.0,1.996364152634084,0.0,0.0,1.996364152634084,28.0,0.02669287821273
2.0486130108060925,41.0,0.2227061208749417,2.0486130108060925,14.0,0.0760459924938825,2.0486130108060925,0.0,0.0,2.0486130108060925,37.0,0.1148449682560675,2.0486130108060925,141.0,0.1276486302575885
2.1008618689781016,212.0,1.0949871271771172,2.1008618689781016,76.0,0.3925425550257589,2.1008618689781016,31.0,0.1601160421815596,2.1008618689781016,175.0,0.5165033618759987,2.1008618689781016,515.0,0.4433320522768988
2.15311072715011,241.0,1.1850930824379184,2.15311072715011,105.0,0.5163268616430765,2.15311072715011,173.0,0.8507099720404974,2.15311072715011,370.0,1.039678578546603,2.15311072715011,1592.0,1.3047497837075837
2.20535958532212,316.0,1.481141018345207,2.20535958532212,369.0,1.7295602397765235,2.20535958532212,389.0,1.823303342203436,2.20535958532212,631.0,1.6900542180394675,2.20535958532212,3627.0,2.8333852708534097
2.257608443494128,586.0,2.621009074292588,2.257608443494128,696.0,3.1130073646888072,2.257608443494128,575.0,2.571809245252966,2.257608443494128,972.0,2.4842718870915603,2.257608443494128,4744.0,3.536424075211615
2.309857301666137,769.0,3.2856718572634978,2.309857301666137,1039.0,4.439288764235077,2.309857301666137,827.0,3.533485859501836,2.309857301666137,1492.0,3.642743757040415,2.309857301666137,6133.0,4.367365734849812
2.3621061598381456,779.0,3.182781193592651,2.3621061598381456,1058.0,4.322698976663704,2.3621061598381456,1443.0,5.895703802765334,2.3621061598381456,2095.0,4.8911986800488565,2.3621061598381456,6342.0,4.31861324984266
2.4143550180101547,803.0,3.1403744325382954,2.4143550180101547,1216.0,4.755535877916024,2.4143550180101547,1532.0,5.991349477769201,2.4143550180101547,2200.0,4.916437467770326,2.4143550180101547,6878.0,4.483083301577085
2.466603876182164,699.0,2.619066383754593,2.466603876182164,966.0,3.619482298579309,2.466603876182164,1089.0,4.080348057094065,2.466603876182164,1666.0,3.5670260333825072,2.466603876182164,5369.0,3.352829617162234
2.518852734354172,748.0,2.687597284640922,2.518852734354172,912.0,3.2768565823429427,2.518852734354172,1001.0,3.596637542681234,2.518852734354172,1587.0,3.2583780677808587,2.518852734354172,4032.0,2.414525902779011
2.5711015925261806,501.0,1.727696291474401,2.5711015925261806,858.0,2.958809217734604,2.5711015925261806,978.0,3.372628688746436,2.5711015925261806,1366.0,2.691797130486492,2.5711015925261806,2924.0,1.6805668517202756
2.6233504506981897,366.0,1.2123739952939203,2.6233504506981897,534.0,1.7688735341173591,2.6233504506981897,631.0,2.090185767842797,2.6233504506981897,924.0,1.7489985505879508,2.6233504506981897,2226.0,1.2289364815684274
2.675599308870199,351.0,1.11772024210719,2.675599308870199,483.0,1.5380594784551935,2.675599308870199,684.0,2.178121497439653,2.675599308870199,951.0,1.7304875054846367,2.675599308870199,1997.0,1.0598705239734374
2.7278481670422075,281.0,0.8608630797701162,2.7278481670422075,446.0,1.3663520767881558,2.7278481670422075,499.0,1.528721269769708,2.7278481670422075,680.0,1.190415646657202,2.7278481670422075,1567.0,0.800102281138655
2.780097025214216,504.0,1.4865474636684115,2.780097025214216,231.0,0.6813342541813554,2.780097025214216,177.0,0.5220613116454541,2.780097025214216,479.0,0.8073199944412349,2.780097025214216,1177.0,0.5785933745825796
2.832345883386225,427.0,1.213398487152306,2.832345883386225,318.0,0.9036550794249022,2.832345883386225,143.0,0.4063606174772359,2.832345883386225,481.0,0.7810567712549469,2.832345883386225,977.0,0.4627206564979714
2.884594741558234,265.0,0.7260130193825296,2.884594741558234,189.0,0.5177979647671627,2.884594741558234,23.0,0.063012450738861,2.884594741558234,236.0,0.369464307437794,2.884594741558234,747.0,0.3410891355212262
2.936843599730243,170.0,0.4493196721171384,2.936843599730243,98.0,0.2590195756910562,2.936843599730243,23.0,0.060790308580554,2.936843599730243,140.0,0.2114445515845357,2.936843599730243,685.0,0.3017489954904311
2.9890924579022515,167.0,0.4260944952466897,2.9890924579022515,104.0,0.2653522605129085,2.9890924579022515,24.0,0.0612351370414404,2.9890924579022515,142.0,0.2070330823782034,2.9890924579022515,480.0,0.2041171234714681
3.04134131607426,275.0,0.6777515510029501,3.04134131607426,121.0,0.298210682441298,3.04134131607426,38.0,0.0936529415931349,3.04134131607426,167.0,0.2351885901662185,3.04134131607426,452.0,0.1856628491232324
3.0935901742462693,315.0,0.7503314398365312,3.0935901742462693,118.0,0.2810765393673355,3.0935901742462693,45.0,0.107190205690933,3.0935901742462693,171.0,0.2327558752145974,3.0935901742462693,389.0,0.1544332963473072
3.1458390324182783,206.0,0.474528582766876,3.1458390324182783,61.0,0.1405157453824244,3.1458390324182783,56.0,0.1289980613346847,3.1458390324182783,130.0,0.1711198772807042,3.1458390324182783,442.0,0.169693878303365
3.198087890590287,227.0,0.5059565437138219,3.198087890590287,56.0,0.1248174733390926,3.198087890590287,99.0,0.2206594617958959,3.198087890590287,184.0,0.234351174432582,3.198087890590287,709.0,0.263379727968502
3.250336748762296,328.0,0.7077587992322955,3.250336748762296,48.0,0.1035744584242383,3.250336748762296,61.0,0.1316258742474695,3.250336748762296,171.0,0.2108480046493424,3.250336748762296,831.0,0.2988554685782711
3.3025856069343043,197.0,0.4117429846545857,3.3025856069343043,47.0,0.0982330978617539,3.3025856069343043,53.0,0.1107734933334672,3.3025856069343043,149.0,0.1779541833605026,3.3025856069343043,771.0,0.2685734696858592
3.3548344651063133,251.0,0.5083931372022094,3.3548344651063133,138.0,0.2795149519279079,3.3548344651063133,184.0,0.3726866025705439,3.3548344651063133,342.0,0.3958348387550497,3.3548344651063133,917.0,0.3095594334757144
3.4070833232783224,254.0,0.4988113845583459,3.4070833232783224,112.0,0.2199483270493493,3.4070833232783224,176.0,0.3456330853632632,3.4070833232783224,326.0,0.3658324215208566,3.4070833232783224,965.0,0.3158484160753306
3.459332181450331,358.0,0.6819721545967843,3.459332181450331,109.0,0.2076395666230432,3.459332181450331,389.0,0.741025609324439,3.459332181450331,569.0,0.6193809353001921,3.459332181450331,1171.0,0.371782771430556
3.51158103962234,344.0,0.6359474080302353,3.51158103962234,130.0,0.2403289623370075,3.51158103962234,337.0,0.6230066177505503,3.51158103962234,618.0,0.6528496647220688,3.51158103962234,1343.0,0.4137971748956424
3.5638298977943488,268.0,0.4810265083612384,3.5638298977943488,132.0,0.2369235041182219,3.5638298977943488,194.0,0.3482057560525383,3.5638298977943488,352.0,0.3610262919896715,3.5638298977943488,1678.0,0.501966717058556
3.616078755966357,727.0,1.267438220940978,3.616078755966357,322.0,0.5613687856162242,3.616078755966357,293.0,0.5108107272843281,3.616078755966357,674.0,0.6714508633635049,3.616078755966357,2523.0,0.7330918458124914
3.668327614138368,538.0,0.9114108521296916,3.668327614138368,324.0,0.5488793979368404,3.668327614138368,313.0,0.5302446035624415,3.668327614138368,722.0,0.6989257941982342,3.668327614138368,2806.0,0.7922611062812622
3.720576472310375,473.0,0.7789486335639823,3.720576472310375,187.0,0.3079564365252953,3.720576472310375,256.0,0.421587421125538,3.720576472310375,641.0,0.6032087878157808,3.720576472310375,2822.0,0.7745570979272579
3.772825330482384,517.0,0.8279903867010159,3.772825330482384,543.0,0.8696301353552256,3.772825330482384,440.0,0.7046726695327794,3.772825330482384,830.0,0.7595822281976714,3.772825330482384,3441.0,0.9184767635842024
3.825074188654393,520.0,0.8101991212115233,3.825074188654393,682.0,1.0626073089735746,3.825074188654393,585.0,0.9114740113629636,3.825074188654393,1015.0,0.903683635197468,3.825074188654393,3671.0,0.9532823634511222
3.8773230468264015,545.0,0.8264197336420502,3.8773230468264015,499.0,0.7566668753896938,3.8773230468264015,593.0,0.8992053248619006,3.8773230468264015,945.0,0.8188379012233159,3.8773230468264015,4127.0,1.043007413070563
3.9295719049984106,505.0,0.7455367357134834,3.9295719049984106,507.0,0.7484893564489824,3.9295719049984106,609.0,0.8990730139594285,3.9295719049984106,933.0,0.7870843274915758,3.9295719049984106,4889.0,1.2029468979878617
3.981820763170419,437.0,0.628327652166765,3.981820763170419,558.0,0.8023039586019564,3.981820763170419,638.0,0.9173296157491904,3.981820763170419,941.0,0.7731367383967649,3.981820763170419,5690.0,1.3635333107661682
4.034069621342428,559.0,0.7830566452821659,4.034069621342428,709.0,0.993179179794375,4.034069621342428,667.0,0.9343448701309564,4.034069621342428,1117.0,0.8941214135243334,4.034069621342428,5730.0,1.3377801363943975
4.086318479514437,480.0,0.6553072366156504,4.086318479514437,688.0,0.9392737058157654,4.086318479514437,883.0,1.2054922706908733,4.086318479514437,1229.0,0.9587768973817076,4.086318479514437,6114.0,1.391162654398641
4.138567337686446,765.0,1.018191654900486,4.138567337686446,777.0,1.0341632887028465,4.138567337686446,688.0,0.9157070046686724,4.138567337686446,1286.0,0.9780724318969374,4.138567337686446,6561.0,1.4554151302401066
4.190816195858455,921.0,1.195447623070078,4.190816195858455,943.0,1.2240033751955306,4.190816195858455,672.0,0.8722484285592753,4.190816195858455,1447.0,1.0732512552085642,4.190816195858455,6649.0,1.43838784759192
4.243065054030463,949.0,1.2016416738905555,4.243065054030463,830.0,1.0509616325913185,4.243065054030463,701.0,0.8876194029476073,4.243065054030463,1490.0,1.0780948933294765,4.243065054030463,6502.0,1.372159143596135
4.295313912202472,994.0,1.228187624416451,4.295313912202472,598.0,0.7388895366207622,4.295313912202472,775.0,0.9575909546506534,4.295313912202472,1501.0,1.0597928279672852,4.295313912202472,7483.0,1.5410006696023308
4.347562770374481,979.0,1.1807531680775605,4.347562770374481,754.0,0.9093849731669872,4.347562770374481,853.0,1.0287869789276394,4.347562770374481,1613.0,1.1116619641669954,4.347562770374481,7772.0,1.5622767487740548
4.399811628546489,1023.0,1.204690865061529,4.399811628546489,996.0,1.172895504986591,4.399811628546489,821.0,0.9668144674638468,4.399811628546489,1678.0,1.1291558562062536,4.399811628546489,7254.0,1.4237255677999887
4.452060486718499,947.0,1.089170867650152,4.452060486718499,869.0,0.999460912342114,4.452060486718499,759.0,0.8729468728051375,4.452060486718499,1516.0,0.996339137340552,4.452060486718499,7906.0,1.515484843302024
